STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
HIMACHAL PRADESH,TOTAL,2021,86,8,357,406,3,8,292,474,314,115,251,2,487,94,221,,,,,
JAMMU & KASHMIR,TOTAL,2021,136,27,315,871,3,104,1485,2397,751,71,305,16,1851,10,501,,,,,
JHARKHAND,TOTAL,2021,1573,41,1425,1330,124,693,1786,9504,1834,187,1741,281,1335,6,931,,,,,
KARNATAKA,TOTAL,2021,1357,84,555,2755,187,1618,4818,17140,4193,478,4898,158,5105,71,2336,,,,,
KERALA,TOTAL,2021,277,60,577,248,46,556,1473,2125,1313,120,3217,9,4059,504,4997,,,,,
MADHYA PRADESH,TOTAL,2021,2034,197,2947,9360,81,1165,9149,30503,1050,688,2700,522,5760,250,7929,,,,,
MAHARASHTRA,TOTAL,2021,1729,230,1475,5813,502,3526,8331,46140,7404,840,3526,172,10568,1038,10095,,,,,
MANIPUR,TOTAL,2021,46,9,26,47,0,8,52,918,60,27,69,2,92,16,18,,,,,
MEGHALAYA,TOTAL,2021,13,2,6,10,6,8,10,82,0,0,21,0,92,24,21,,,,,
MIZORAM,TOTAL,2021,24,9,26,1,2,21,547,1081,0,44,164,0,31,0,11,,,,,
NAGALAND,TOTAL,2021,27,2,4,40,2,16,77,428,1,22,29,0,11,1,2,,,,,
ODISHA,TOTAL,2021,1320,12,1366,5122,341,2097,4507,10349,2119,706,3797,293,14853,838,4889,,,,,
PUNJAB,TOTAL,2021,656,165,409,1389,41,85,2914,7497,0,287,2353,69,678,39,1714,,,,,
RAJASTHAN,TOTAL,2021,1786,96,6337,4509,77,1485,6821,34873,249,355,14911,452,9079,73,16949,,,,,
SIKKIM,TOTAL,2021,14,2,8,39,0,6,43,32,0,2,39,0,17,0,3,,,,,
TAMIL NADU,TOTAL,2021,1686,71,422,685,111,2558,5157,14274,2275,126,2738,27,1077,32,875,,,,,
TRIPURA,TOTAL,2021,122,5,61,100,7,17,144,361,117,37,159,22,94,1,355,,,,,
UTTAR PRADESH,TOTAL,2021,3584,1342,2769,13997,108,1839,6171,38641,5147,5960,7311,2222,9393,27,18375,,,,,
UTTARAKHAND,TOTAL,2021,170,33,312,317,12,134,392,1687,642,131,530,72,655,13,519,,,,,
WEST BENGAL,TOTAL,2021,1884,246,1123,5512,51,318,90,9232,776,1764,7939,454,2485,424,19952,,,,,
A & N ISLANDS,TOTAL,2021,16,3,15,7,0,2,15,20,2,3,18,1,32,4,4,,,,,
CHANDIGARH,TOTAL,2021,17,1,74,145,6,17,93,757,39,10,134,4,37,6,95,,,,,
D & N HAVELI,TOTAL,2021,11,0,2,17,2,4,32,30,3,1,8,0,4,0,3,,,,,
DAMAN & DIU,TOTAL,2021,3,1,1,29,1,7,14,34,0,11,13,0,3,0,3,,,,,
DELHI,TOTAL,2021,459,60,1250,5064,26,2333,2637,199981,68,242,,141,2068,417,4731,,,,,
LAKSHADWEEP,TOTAL,2021,1,0,0,0,0,0,0,7,0,2,0,0,1,1,3,,,,,
PUDUCHERRY,TOTAL,2021,19,0,2,40,4,12,71,408,17,8,62,2,31,3,12,,,,,
ANDHRA PRADESH,TOTAL,2022,364,57,308,408,16,143,1805,6768,142,544,2812,100,5884,3145,11964,,,,,
ARUNACHAL PRADESH,TOTAL,2022,56,2,74,52,1,52,168,701,11,26,104,0,67,20,74,,,,,
ASSAM,TOTAL,2022,1054,57,1101,3249,76,699,3073,10830,228,1114,2894,175,1984,149,4704,,,,,
BIHAR,TOTAL,2022,2850,107,802,9283,252,2167,4080,41432,4612,372,5952,1057,402,0,1850,,,,,
CHHATTISGARH,TOTAL,2022,957,44,1172,2442,65,475,3956,8643,877,179,1109,57,1322,255,942,,,,,
GOA,TOTAL,2022,44,4,73,66,4,14,103,548,53,30,159,0,87,30,6,,,,,
GUJARAT,TOTAL,2022,951,125,610,1654,115,567,3292,12361,171,646,2081,10,693,17,2166,,,,,
HARYANA,TOTAL,2022,1020,78,1787,1563,117,617,9242,29141,2373,1548,3016,234,2739,322,5883,,,,,
HIMACHAL PRADESH,TOTAL,2022,83,11,358,399,0,8,490,665,343,111,292,1,492,77,196,,,,,
JAMMU & KASHMIR,TOTAL,2022,1550,57,1298,1419,116,702,1994,10450,1793,237,1733,9,1606,19,500,,,,,
JHARKHAND,TOTAL,2022,1390,88,588,3178,219,1699,5332,20805,4055,457,5645,208,1144,2,850,,,,,
KARNATAKA,TOTAL,2022,261,86,560,251,44,546,1706,2575,1174,99,6110,165,6201,78,2812,,,,,
KERALA,TOTAL,2022,1943,182,2986,10070,67,1086,8854,32716,1011,661,2441,11,4940,572,4998,,,,,
MADHYA PRADESH,TOTAL,2022,1742,188,1625,6801,451,3690,9067,59897,7005,1037,3880,518,5564,265,8486,,,,,
MAHARASHTRA,TOTAL,2022,47,1,42,46,1,7,39,1268,84,54,70,180,11512,1317,11367,,,,,
MANIPUR,TOTAL,2022,10,1,11,17,5,6,20,163,1,7,20,0,67,11,10,,,,,
MEGHALAYA,TOTAL,2022,31,11,14,8,2,19,1257,1456,0,44,153,1,63,22,28,,,,,
MIZORAM,TOTAL,2022,21,6,7,24,2,18,106,465,1,31,30,0,28,0,4,,,,,
NAGALAND,TOTAL,2022,1306,38,1386,5294,358,2274,4922,12436,2153,731,3969,0,9,0,3,,,,,
ODISHA,TOTAL,2022,625,234,448,1305,51,104,3704,7686,1,259,2430,263,7327,689,5322,,,,,
PUNJAB,TOTAL,2022,1834,79,5399,6037,104,1622,7718,40364,228,423,18338,71,666,36,1640,,,,,
RAJASTHAN,TOTAL,2022,9,0,13,44,0,5,49,28,8,4,24,451,8508,83,18847,,,,,
SIKKIM,TOTAL,2022,1690,86,421,617,141,2705,5902,17808,2229,216,3402,0,23,2,2,,,,,
TAMIL NADU,TOTAL,2022,109,0,62,69,1,6,129,304,96,33,156,29,1414,58,1043,,,,,
TRIPURA,TOTAL,2022,3387,1217,3623,15573,71,1909,6714,42979,4365,7345,8327,25,87,2,348,,,,,
UTTAR PRADESH,TOTAL,2022,138,34,620,385,14,168,439,2182,757,184,173,2138,10548,55,12653,,,,,
UTTARAKHAND,TOTAL,2022,1696,234,1111,5584,53,284,82,9260,493,2216,7862,70,699,16,394,,,,,
WEST BENGAL,TOTAL,2022,7,3,12,14,0,4,31,24,6,3,29,406,2477,400,16800,,,,,
A & N ISLANDS,TOTAL,2022,18,6,78,139,5,16,88,1276,28,3,223,0,32,5,5,,,,,
CHANDIGARH,TOTAL,2022,10,0,8,28,0,11,151,235,7,6,10,1,42,2,83,,,,,
D & N HAVELI,TOTAL,2022,6,1,1,22,0,4,14,34,4,7,20,0,7,0,3,,,,,
DAMAN & DIU,TOTAL,2022,509,90,1212,5388,18,1808,6189,206650,66,246,2782,0,4,0,7,,,,,
DELHI,TOTAL,2022,99,25,287,895,4,84,1678,2598,520,61,351,131,2017,387,4901,,,,,
LAKSHADWEEP,TOTAL,2022,0,0,4,0,0,0,0,14,0,0,0,0,1,0,3,,,,,
PUDUCHERRY,TOTAL,2022,30,1,9,24,3,18,57,505,21,18,42,1,35,5,9,,,,,
