STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
UTTAR PRADESH,TOTAL,2004,6126,1436,1397,3337,378,2606,5299,22524,3915,2377,4184,1708,1900,2682,4950,,,,,
UTTARAKHAND,TOTAL,2004,262,29,115,213,37,165,566,1597,444,157,372,82,143,110,405,,,,,
WEST BENGAL,TOTAL,2004,1425,468,1475,1200,212,535,547,14465,2691,425,1686,396,1566,64,6334,,,,,
A & N ISLANDS,TOTAL,2004,15,2,10,3,0,3,69,103,9,0,12,0,6,3,5,,,,,
CHANDIGARH,TOTAL,2004,22,10,19,54,0,6,186,1459,43,23,135,6,20,18,73,,,,,
D & N HAVELI,TOTAL,2004,11,0,7,12,3,2,20,53,17,12,22,0,5,0,3,,,,,
DAMAN & DIU,TOTAL,2004,3,0,1,2,0,1,35,27,19,4,5,0,1,0,4,,,,,
DELHI,TOTAL,2004,481,80,551,1209,30,461,1875,18994,67,445,2322,126,601,130,1254,,,,,
LAKSHADWEEP,TOTAL,2004,0,0,0,0,0,0,2,5,37,0,0,0,0,0,1,,,,,
PUDUCHERRY,TOTAL,2004,25,14,4,10,0,1,86,634,147,7,35,6,50,30,2,,,,,
ANDHRA PRADESH,TOTAL,2005,2750,111,935,1612,250,794,7954,23778,2026,948,7909,443,3595,2508,8696,,,,,
ARUNACHAL PRADESH,TOTAL,2005,81,5,35,58,23,77,263,531,23,36,28,0,67,0,9,,,,,
ASSAM,TOTAL,2005,1194,117,1238,1751,334,451,2255,6369,2760,487,873,99,899,19,2206,,,,,
BIHAR,TOTAL,2005,3471,259,1147,2693,1212,2374,3117,10812,7671,1181,1829,1014,451,13,1574,,,,,
CHHATTISGARH,TOTAL,2005,1013,41,990,246,204,401,3621,5600,893,110,431,100,1450,132,732,,,,,
GOA,TOTAL,2005,45,5,20,17,2,28,265,495,45,50,58,2,30,8,11,,,,,
GUJARAT,TOTAL,2005,1033,27,324,1164,282,966,5332,17964,1628,1370,1541,48,802,104,4090,,,,,
HARYANA,TOTAL,2005,784,57,461,492,88,390,3437,8694,899,562,1204,212,380,597,2075,,,,,
